transaction_id,transaction_address_1,transaction_address_2,transaction_city,transaction_state,transaction_zip,normalized_transaction,canonical_id,canonical_address_1,canonical_address_2,canonical_city,canonical_state,canonical_zip,normalized_canonical,match_type,match_score,match_status
none-719-grand-street-none-brooklyn-ny-11211,719 Grand Street,,Brooklyn,NY,11211,719 Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-467-bedford-avenue-unit-6-brooklyn-ny-11211,467 Bedford Avenue,Unit 6,Brooklyn,NY,11211,467 Bedford Avenue Unit 6 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-230-south-2nd-street-none-williamsburg-ny-11211,230 South 2nd Street,,Williamsburg,NY,11211,230 South 2nd Street Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,549 Metropolitan Avenue,Unit A,Brooklyn,NY,11211,549 Metropolitan Avenue Unit A Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-230-south-2nd-street-none-williamsburg-ny-11211-0,230 South 2nd Street,,Williamsburg,NY,11211,230 South 2nd Street Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-76-richardson-street-unit-7-williamsburg-ny-11211,76 Richardson Street,Unit 7,Williamsburg,NY,11211,76 Richardson Street Unit 7 Williamsburg NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,764 Metropolitan Avenue,Unit 2B,Brooklyn,NY,11211,764 Metropolitan Avenue Unit 2B Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-679-lorimer-street-none-brooklyn-ny-11211,679 Lorimer Street,,Brooklyn,NY,11211,679 Lorimer Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,364 Manhattan Avenue,Unit 4G,Brooklyn,NY,11211,364 Manhattan Avenue Unit 4G Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-415-bedford-avenue-unit-23a-brooklyn-ny-11211,415 Bedford Avenue,Unit 23A,Brooklyn,NY,11211,415 Bedford Avenue Unit 23A Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,339 Bedford Avenue,Unit 8,Brooklyn,NY,11211,339 Bedford Avenue Unit 8 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-183-south-2nd-street-none-williamsburg-ny-11211,183 South 2nd Street,,Williamsburg,NY,11211,183 South 2nd Street Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,549 Metropolitan Avenue,Unit A,Brooklyn,NY,11211,549 Metropolitan Avenue Unit A Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,390 Manhattan Avenue,Unit 2,Brooklyn,NY,11211,390 Manhattan Avenue Unit 2 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6521739130434783,matched
none-392-graham-avenue-unit-3b-brooklyn-ny-11211,392 Graham Avenue,Unit 3B,Brooklyn,NY,11211,392 Graham Avenue Unit 3B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6521739130434783,matched
none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,976 Metropolitan Avenue,Unit 1B,Brooklyn,NY,11211,976 Metropolitan Avenue Unit 1B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6521739130434783,matched
none-710-metropolitan-avenue-unit-5h-brooklyn-ny-11211,710 Metropolitan Avenue,Unit 5H,Brooklyn,NY,11211,710 Metropolitan Avenue Unit 5H Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.64,matched
none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,305 Union Avenue,Unit 4D/5D,Brooklyn,NY,11211,305 Union Avenue Unit 4D/5D Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.64,matched
none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,549 Metropolitan Avenue,Unit A,Williamsburg,NY,11211,549 Metropolitan Avenue Unit A Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.64,matched
none-296-manhattan-avenue-none-brooklyn-ny-11211-0,296 Manhattan Avenue,,Brooklyn,NY,11211,296 Manhattan Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6363636363636364,matched
none-739-grand-street-none-brooklyn-ny-11211,739 Grand Street,,Brooklyn,NY,11211,739 Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6363636363636364,matched
none-296-manhattan-avenue-none-brooklyn-ny-11211,296 Manhattan Avenue,,Brooklyn,NY,11211,296 Manhattan Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6363636363636364,matched
none-739-grand-street-none-brooklyn-ny-11211-0,739 Grand Street,,Brooklyn,NY,11211,739 Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6363636363636364,matched
none-251-253-north-8th-street-none-brooklyn-ny-11211,251-253 North 8th Street,,Brooklyn,NY,11211,251-253 North 8th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6363636363636364,matched
none-390-manhattan-avenue-unit-ph-brooklyn-ny-11211,390 Manhattan Avenue,Unit PH,Brooklyn,NY,11211,390 Manhattan Avenue Unit PH Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.625,matched
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211-0,726 Metropolitan Avenue,Unit 6,Williamsburg,NY,11211,726 Metropolitan Avenue Unit 6 Williamsburg NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.625,matched
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,726 Metropolitan Avenue,Unit 6,Williamsburg,NY,11211,726 Metropolitan Avenue Unit 6 Williamsburg NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.625,matched
none-38-devoe-street-none-brooklyn-ny-11211,38 Devoe Street,,Brooklyn,NY,11211,38 Devoe Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6190476190476191,matched
none-980-metropolitan-avenue-none-williamsburg-ny-11211,980 Metropolitan Avenue,,Williamsburg,NY,11211,980 Metropolitan Avenue Williamsburg NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6153846153846154,matched
none-452-graham-avenue-none-brooklyn-ny-11211,452 Graham Avenue,,Brooklyn,NY,11211,452 Graham Avenue Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6086956521739131,matched
none-390-broadway-none-williamsburg-ny-11211,390 Broadway,,Williamsburg,NY,11211,390 Broadway Williamsburg NY 11211,,,,,,,,,,
none-217-219-devoe-street-none-brooklyn-ny-11211,217-219 Devoe Street,,Brooklyn,NY,11211,217-219 Devoe Street Brooklyn NY 11211,,,,,,,,,,
none-390-broadway-none-brooklyn-ny-11211,390 Broadway,,Brooklyn,NY,11211,390 Broadway Brooklyn NY 11211,,,,,,,,,,
none-390-broadway-none-williamsburg-ny-11211-0,390 Broadway,,Williamsburg,NY,11211,390 Broadway Williamsburg NY 11211,,,,,,,,,,
